Task_name,Input_data_size,Duration(s),maxExecutor,hibench.gmm.num_of_samples
gmm_1,2008194496,331.442,3,8000000
gmm_2,20081914626,548.183,17,100000000
gmm_3,2008194476,249.347,4,8000000
gmm_4,7028672390,155.338,16,34000000
gmm_5,8032767802,184.592,18,40000000
gmm_6,8032767778,169.764,19,40000000
gmm_7,20081914646,152.754,50,100000000
gmm_8,3012290093,511.663,3,14000000
gmm_9,20081914426,199.215,49,100000000
gmm_10,5020481121,158.367,11,23000000
gmm_11,5020481231,169.8,11,21000000
gmm_12,5020481226,172.495,10,22000000
gmm_13,5020481221,154.289,11,22000000
gmm_14,5020481166,104.979,24,25000000
gmm_15,4016385650,494.038,3,17000000
gmm_16,3012290024,345.083,3,14000000
gmm_17,5020481221,193.866,10,25000000
gmm_18,4016385614,88.16,23,18000000
gmm_19,4016385662,155.523,10,16000000
gmm_20,5020481176,171.655,11,24000000
gmm_21,4016385622,109.262,11,20000000
gmm_22,3012290081,94.729,10,13000000
gmm_23,4016385610,195.954,11,19000000
gmm_24,7028672271,143.61,24,33000000
gmm_25,4016385602,1299.91,3,16000000
gmm_26,1004098952,109.625,3,5000000
gmm_27,5020481141,173.433,10,21000000
gmm_28,6024576740,118.711,23,27000000
gmm_29,3012290069,117.063,10,12000000
gmm_30,4016385650,124.473,11,16000000
gmm_31,12049150250,108.616,70,60000000
gmm_32,4016385634,85.296,23,20000000
gmm_33,7028672355,134.716,21,31000000
gmm_34,9036863543,164.299,27,41000000
gmm_35,4016385566,175.385,8,19000000
gmm_36,4016385586,103.096,15,19000000
gmm_37,7028672411,124.955,20,33000000
gmm_38,3012290066,241.77,4,11000000
gmm_39,4016385586,95.804,15,17000000
gmm_40,4016385586,98.212,19,18000000
gmm_41,4016385610,116.881,64,19000000
gmm_42,4016385658,104.605,14,16000000
gmm_43,6024576710,122.254,22,30000000
gmm_44,4016385618,200.615,9,18000000
gmm_45,5020481091,188.74,9,23000000
gmm_46,7028672215,113.835,29,31000000
gmm_47,8032767834,124.247,25,39000000
gmm_48,7028672222,114.346,29,32000000
gmm_49,5020481191,236.596,7,22000000
gmm_50,3012290108,250.304,3,11000000
gmm_51,17069627889,105.199,78,81000000
gmm_52,7028672194,152.564,21,34000000
gmm_53,5020481221,136.619,15,21000000
gmm_54,6024576758,96.577,19,27000000
gmm_55,4016385650,216.317,6,16000000
gmm_56,5020481246,107.691,19,24000000
gmm_57,4016385578,104.023,28,18000000
gmm_58,4016385586,265.885,4,17000000
gmm_59,4016385594,113.612,13,20000000
gmm_60,6024576740,110.734,18,28000000
gmm_61,15061436981,111.095,60,72000000
gmm_62,11045054689,105.413,50,54000000
gmm_63,10040958956,94.331,57,50000000
gmm_64,9036863363,94.87,66,43000000
gmm_65,13053245744,104.287,57,61000000
gmm_66,7028672327,94.763,42,32000000
gmm_67,4016385666,105.466,36,17000000
gmm_68,11045054425,175.97,36,51000000
gmm_69,6024576668,208.035,10,30000000
gmm_70,4016385610,121.653,16,16000000
gmm_71,4016385622,273.155,6,20000000
gmm_72,4016385662,98.985,24,16000000
gmm_73,8032767954,133.792,24,37000000
gmm_74,4016385646,139.759,32,19000000
gmm_75,16065532218,114.981,72,79000000
gmm_76,4016385590,121.03,60,16000000
gmm_77,9036863345,153.064,33,45000000
gmm_78,5020481131,108.302,24,23000000
gmm_79,7028672320,123.424,24,34000000
gmm_80,5020481141,237.617,9,21000000
gmm_81,10040959036,110.661,80,47000000
